PTNUM,DyadID,mth,ECR1,ECR2,ECR3,ECR4,ECR5,ECR6,ECR7,ECR8,ECR9,ECR10,ECR11,ECR12,ECR13,ECR14,ECR15,ECR16,ECR17,ECR18,ECR19,ECR20,ECR21,ECR22,ECR23,ECR24,ECR25,ECR26,ECR27,ECR28,ECR29,ECR30,ECR31,ECR32,ECR33,ECR34,ECR35,ECR36,UsrID
8083,1,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80831
8083,1,12,4,4,4,4,4,4,4,4,4,4,4,7,4,7,4,4,4,6,4,4,4,4,4,4,5,4,4,7,4,4,4,7,5,5,2,4,80831
8084,0,0,1,6,6,2,6,2,1,1,1,1,6,1,1,1,6,1,6,1,6,1,1,6,1,2,7,1,7,1,6,1,6,1,7,1,5,1,80840
8084,0,3,1,6,6,2,6,2,2,2,5,1,5,1,1,1,6,1,6,1,5,1,5,5,1,2,5,2,5,1,5,2,5,2,5,2,5,2,80840
8084,0,6,1,7,7,2,7,1,1,1,1,1,7,5,1,1,7,1,7,1,7,1,2,7,1,1,7,1,7,1,7,1,7,1,7,1,6,1,80840
8084,0,9,1,4,7,2,6,3,1,2,1,5,2,5,2,2,6,2,5,5,6,2,5,2,2,4,7,2,6,5,5,5,6,4,6,1,5,1,80840
8084,0,12,2,4,6,4,5,3,2,2,2,2,5,2,2,2,6,2,6,2,6,2,2,6,2,2,6,2,6,2,6,2,6,2,6,2,6,2,80840
8084,1,0,5,7,5,6,6,6,7,6,5,5,5,5,4,5,5,5,4,5,6,5,5,1,4,5,7,6,6,4,5,5,7,5,7,6,7,1,80841
8084,1,3,1,7,6,7,6,7,5,7,7,7,4,1,3,6,7,2,2,6,7,6,4,1,1,2,1,1,1,1,2,2,1,1,7,1,7,7,80841
8084,1,6,3,1,7,7,6,6,1,7,2,7,2,4,2,7,7,2,2,6,2,6,2,1,2,6,6,6,7,1,6,2,7,2,7,1,7,7,80841
8084,1,9,1,2,5,5,7,6,6,7,5,5,1,3,1,4,6,1,1,4,6,5,4,1,2,1,6,3,6,4,4,4,7,2,6,2,6,6,80841
8084,1,12,1,4,3,6,6,6,3,6,2,6,6,4,1,6,6,2,4,5,6,6,5,6,2,2,6,2,6,2,2,4,6,2,2,6,6,6,80841
8086,0,0,1,6,7,2,7,2,1,2,2,2,7,2,2,2,7,2,6,2,7,2,4,7,2,2,6,2,6,2,6,2,7,2,6,2,6,2,80860
8086,1,0,7,6,6,3,6,3,2,2,1,2,6,2,1,2,6,3,6,2,6,3,2,7,1,2,6,2,6,2,6,2,6,2,7,2,6,2,80861
8086,1,3,2,5,6,3,6,5,2,3,1,3,6,2,2,2,6,3,6,1,6,4,2,7,2,2,5,1,7,1,6,1,7,1,7,2,6,3,80861
8086,1,6,2,6,7,3,6,5,2,3,2,2,6,2,2,3,6,1,6,2,6,3,3,7,2,2,4,2,6,2,6,2,7,1,7,1,6,2,80861
8086,1,9,2,6,7,3,7,3,1,2,1,2,7,1,1,2,7,3,6,1,7,2,1,7,2,1,6,1,7,1,6,2,7,1,7,1,6,2,80861
8086,1,12,2,6,7,3,6,2,1,2,1,1,7,2,1,1,7,5,6,1,7,2,1,7,1,1,5,1,7,1,6,1,7,1,7,1,6,2,80861
8087,0,0,1,4,5,5,5,7,1,5,1,6,4,5,1,4,6,1,4,4,5,2,4,5,3,1,5,3,5,5,3,1,7,4,3,1,5,2,80870
8087,0,3,4,4,5,3,7,7,1,7,4,5,5,5,1,4,5,1,2,6,5,2,1,4,3,3,5,3,4,6,3,2,4,4,3,1,3,1,80870
8087,1,0,5,2,3,7,2,2,2,5,2,2,5,4,3,2,5,4,5,3,3,2,3,3,2,5,5,4,5,7,4,5,4,5,3,7,2,7,80871
8087,1,3,3,3,5,5,2,2,2,5,3,4,5,2,2,2,5,2,3,5,5,2,5,3,2,5,4,2,6,6,4,2,5,2,5,7,3,6,80871
8087,1,6,5,5,5,6,3,4,3,5,5,4,5,2,2,5,4,3,4,4,5,3,5,5,5,6,2,2,5,6,2,3,4,2,2,7,3,5,80871
8087,1,9,5,4,2,6,3,3,5,5,5,4,2,5,5,5,2,3,1,5,5,5,7,2,5,6,3,4,3,7,1,3,3,3,3,7,3,6,80871
8087,1,12,5,3,3,6,3,5,3,6,5,3,3,5,5,5,3,4,2,5,3,2,5,3,5,5,3,3,5,7,2,2,5,3,2,7,3,6,80871
8088,0,0,5,6,5,5,5,5,3,5,5,4,5,5,4,5,3,4,5,5,5,4,3,2,3,6,5,4,3,6,4,3,3,5,5,4,3,6,80880
8088,0,3,5,2,5,4,5,5,3,6,4,5,3,6,4,6,3,2,4,5,3,5,5,6,2,5,5,4,5,6,3,5,5,5,5,3,2,2,80880
8088,0,6,5,5,5,5,5,4,4,6,4,4,2,5,2,5,5,4,5,2,5,4,3,2,2,5,5,3,5,5,5,4,5,4,6,3,5,5,80880
8088,1,0,5,5,5,6,6,3,2,5,3,5,6,4,5,4,6,6,1,1,6,2,6,2,2,5,7,2,6,2,4,2,5,2,5,5,7,6,80881
8088,1,3,3,2,3,5,3,5,5,5,3,3,6,7,2,2,3,6,1,5,2,5,7,3,5,2,6,6,6,6,1,3,6,5,2,2,2,5,80881
8088,1,6,1,3,2,6,5,5,7,5,6,3,5,5,6,3,5,7,1,6,6,5,7,5,6,4,6,3,5,6,1,2,5,3,3,7,2,6,80881
8088,1,9,2,7,3,6,2,7,7,6,7,7,2,5,6,6,6,6,6,6,5,7,7,1,7,7,6,6,5,6,1,3,3,5,2,7,3,6,80881
8088,1,12,3,3,2,6,3,6,5,5,5,6,3,5,6,6,5,5,5,6,5,5,6,2,5,6,5,5,5,5,6,5,6,5,3,6,3,6,80881
8089,1,0,2,5,4,4,3,2,4,3,3,3,3,4,5,3,6,1,4,5,4,4,5,6,5,1,6,2,7,1,4,1,7,2,5,1,4,1,80891
